"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"102","102","GO301_24_1978_1","GO301_24_48","1",""
"102","102","GO301_24_2788","GO301_24_48","1",""
"27","27","GO301_24_120","GO301_24_56","1",""
"27","27","GO301_24_57","GO301_24_229","1",""
"27","27","GO301_24_124","GO301_24_58","1",""
"27","27","GO301_24_59","GO301_24_139","1",""
"27","27","GO301_24_128","GO301_24_60","1",""
"27","27","GO301_24_61","GO301_24_143","1",""
"102","102","GO301_24_716","GO301_24_62","1",""
"102","102","GO301_24_1914","GO301_24_62","1",""
"102","102","GO301_24_1914_1","GO301_24_62","1",""
"27","27","GO301_24_63","GO301_24_147","1",""
"27","27","GO301_24_132","GO301_24_64","1",""
"27","27","GO301_24_140","GO301_24_66","1",""
"27","27","GO301_24_67","GO301_24_155","1",""
"27","27","GO301_24_144","GO301_24_68","1",""
"27","27","GO301_24_69","GO301_24_163","1",""
"27","27","GO301_24_71","GO301_24_171","1",""
"27","27","GO301_24_73","GO301_24_177","1",""
"27","27","GO301_24_73","GO301_24_177_1","1",""
"27","27","GO301_24_152","GO301_24_74","1",""
"27","27","GO301_24_75","GO301_24_181","1",""
"102","102","GO301_24_162","GO301_24_76","1",""
"102","102","GO301_24_754","GO301_24_76","1",""
"27","27","GO301_24_77","GO301_24_185","1",""
"27","27","GO301_24_77","GO301_24_185_1","1",""
"27","27","GO301_24_164","GO301_24_78","1",""
"102","102","GO301_24_1962","GO301_24_80","1",""
"27","27","GO301_24_268","GO301_24_82","1",""
"27","27","GO301_24_188","GO301_24_84","1",""
"27","27","GO301_24_188_1","GO301_24_84","1",""
"27","27","GO301_24_89","GO301_24_169","1",""
"27","27","GO301_24_99","GO301_24_171","1",""
"102","102","GO301_24_702","GO301_24_502","1",""
"102","102","GO301_24_802","GO301_24_502","1",""
"102","102","GO301_24_220","GO301_24_508","1",""
"102","102","GO301_24_1910","GO301_24_508","1",""
"102","102","GO301_24_814","GO301_24_510","1",""
"102","102","GO301_24_2014","GO301_24_510","1",""
"102","102","GO301_24_2014_1","GO301_24_510","1",""
"102","102","GO301_24_130","GO301_24_512","1",""
"102","102","GO301_24_1614","GO301_24_512","1",""
"102","102","GO301_24_513","GO301_24_2799","1",""
"102","102","GO301_24_722","GO301_24_516","1",""
"102","102","GO301_24_1716","GO301_24_516","1",""
"102","102","GO301_24_724","GO301_24_550","1",""
"102","102","GO301_24_1718","GO301_24_550","1",""
"102","102","GO301_24_750","GO301_24_552","1",""
"102","102","GO301_24_1750","GO301_24_552","1",""
"102","102","GO301_24_754","GO301_24_556","1",""
"102","102","GO301_24_1754","GO301_24_556","1",""
"102","102","GO301_24_860","GO301_24_558","1",""
"102","102","GO301_24_1150","GO301_24_558","1",""
"102","102","GO301_24_170","GO301_24_560","1",""
"102","102","GO301_24_2064","GO301_24_560","1",""
"102","102","GO301_24_268","GO301_24_562","1",""
"102","102","GO301_24_1060","GO301_24_562","1",""
"102","102","GO301_24_272","GO301_24_566","1",""
"102","102","GO301_24_272_1","GO301_24_566","1",""
"102","102","GO301_24_876","GO301_24_568","1",""
"102","102","GO301_24_1570","GO301_24_568","1",""
"102","102","GO301_24_882","GO301_24_570","1",""
"102","102","GO301_24_1670","GO301_24_570","1",""
"102","102","GO301_24_1674","GO301_24_574","1",""
"102","102","GO301_24_1974","GO301_24_574","1",""
"102","102","GO301_24_290_2","GO301_24_574_1","1",""
"102","102","GO301_24_888","GO301_24_574_1","1",""
"102","102","GO301_24_1674","GO301_24_574_1","1",""
"102","102","GO301_24_1974","GO301_24_574_1","1",""
"102","102","GO301_24_890","GO301_24_576","1",""
"102","102","GO301_24_890_1","GO301_24_576","1",""
"102","102","GO301_24_1676","GO301_24_576","1",""
"102","102","GO301_24_1676_1","GO301_24_576","1",""
"102","102","GO301_24_292_1","GO301_24_576_1","1",""
"102","102","GO301_24_890","GO301_24_576_1","1",""
"102","102","GO301_24_890_1","GO301_24_576_1","1",""
"102","102","GO301_24_890_2","GO301_24_576_1","1",""
"102","102","GO301_24_1676","GO301_24_576_1","1",""
"102","102","GO301_24_1676_1","GO301_24_576_1","1",""
"91","91","GO301_24_1678","GO301_24_600","1",""
"91","91","GO301_24_1678","GO301_24_600_1","1",""
"102","102","GO301_24_102","GO301_24_604","1",""
"102","102","GO301_24_702","GO301_24_604","1",""
"91","91","GO301_24_1608","GO301_24_606","1",""
"91","91","GO301_24_607","GO301_24_1509","1",""
"102","102","GO301_24_1912","GO301_24_608","1",""
"102","102","GO301_24_1912_1","GO301_24_608","1",""
"102","102","GO301_24_2716","GO301_24_608","1",""
"91","91","GO301_24_1514","GO301_24_610","1",""
"92","92","GO301_24_1916","GO301_24_614","1",""
"92","92","GO301_24_1916_1","GO301_24_614","1",""
"91","91","GO301_24_623","GO301_24_1523","1",""
"92","92","GO301_24_625","GO301_24_1627","1",""
"91","91","GO301_24_629","GO301_24_1631","1",""
"91","91","GO301_24_1520","GO301_24_650","1",""
"91","91","GO301_24_1650","GO301_24_652","1",""
"91","91","GO301_24_653","GO301_24_1553","1",""
"91","91","GO301_24_1554","GO301_24_654","1",""
"91","91","GO301_24_655","GO301_24_1655","1",""
"102","102","GO301_24_858","GO301_24_656","1",""
"102","102","GO301_24_2758","GO301_24_656","1",""
"102","102","GO301_24_1252","GO301_24_658","1",""
"102","102","GO301_24_1992","GO301_24_658","1",""
"102","102","GO301_24_760","GO301_24_660","1",""
"91","91","GO301_24_661","GO301_24_1565","1",""
"102","102","GO301_24_1660","GO301_24_662","1",""
"102","102","GO301_24_1660_1","GO301_24_662","1",""
"91","91","GO301_24_663","GO301_24_1671","1",""
"102","102","GO301_24_866","GO301_24_664","1",""
"91","91","GO301_24_665","GO301_24_1573","1",""
"91","91","GO301_24_665","GO301_24_1573_1","1",""
"91","91","GO301_24_665","GO301_24_1573_2","1",""
"91","91","GO301_24_667","GO301_24_1501","1",""
"91","91","GO301_24_667","GO301_24_1501_1","1",""
"91","91","GO301_24_667","GO301_24_1501_2","1",""
"91","91","GO301_24_667_1","GO301_24_1501","1",""
"91","91","GO301_24_667_1","GO301_24_1501_1","1",""
"91","91","GO301_24_667_1","GO301_24_1501_2","1",""
"102","102","GO301_24_1178","GO301_24_668","1",""
"102","102","GO301_24_2774","GO301_24_668","1",""
"91","91","GO301_24_1668","GO301_24_670","1",""
"91","91","GO301_24_1580","GO301_24_672","1",""
"102","102","GO301_24_288","GO301_24_674","1",""
"102","102","GO301_24_1582","GO301_24_674","1",""
"91","91","GO301_24_1584","GO301_24_676","1",""
"91","91","GO301_24_1584_1","GO301_24_676","1",""
"91","91","GO301_24_1584","GO301_24_676_1","1",""
"91","91","GO301_24_1584_1","GO301_24_676_1","1",""
"91","91","GO301_24_1584_2","GO301_24_676_1","1",""
"102","102","GO301_24_270","GO301_24_698","1",""
"102","102","GO301_24_1564","GO301_24_698","1",""
"179","179","GO301_24_903","GO301_24_1919","1",""
"179","179","GO301_24_2010","GO301_24_904","1",""
"179","179","GO301_24_905","GO301_24_1929","1",""
"179","179","GO301_24_905","GO301_24_1929_1","1",""
"179","179","GO301_24_1918","GO301_24_906","1",""
"179","179","GO301_24_1918_1","GO301_24_906","1",""
"179","179","GO301_24_951","GO301_24_1959","1",""
"179","179","GO301_24_951","GO301_24_1959_1","1",""
"179","179","GO301_24_951","GO301_24_1959_2","1",""
"179","179","GO301_24_951","GO301_24_1959_3","1",""
"179","179","GO301_24_1954","GO301_24_952","1",""
"179","179","GO301_24_1954_1","GO301_24_952","1",""
"179","179","GO301_24_953","GO301_24_2063","1",""
"179","179","GO301_24_953","GO301_24_2063_1","1",""
"179","179","GO301_24_1954","GO301_24_954","1",""
"179","179","GO301_24_1954_1","GO301_24_954","1",""
"179","179","GO301_24_2068","GO301_24_956","1",""
"179","179","GO301_24_957","GO301_24_1979","1",""
"179","179","GO301_24_957","GO301_24_1979_1","1",""
"179","179","GO301_24_959","GO301_24_1979","1",""
"179","179","GO301_24_959","GO301_24_1979_1","1",""
"179","179","GO301_24_959","GO301_24_1979_2","1",""
"102","102","GO301_24_6202","GO301_24_6002","1",""
"102","102","GO301_24_7502","GO301_24_6002","1",""
"102","102","GO301_24_6202","GO301_24_6002_1","1",""
"102","102","GO301_24_6202_1","GO301_24_6002_1","1",""
"102","102","GO301_24_7502","GO301_24_6002_1","1",""
"102","102","GO301_24_8702_1","GO301_24_6002_1","1",""
"102","102","GO301_24_6712","GO301_24_6006","1",""
"102","102","GO301_24_6712_1","GO301_24_6006","1",""
"102","102","GO301_24_6812","GO301_24_6006","1",""
"102","102","GO301_24_8710_1","GO301_24_6006","1",""
"102","102","GO301_24_6814","GO301_24_6008","1",""
"102","102","GO301_24_7102","GO301_24_6008","1",""
"102","102","GO301_24_6814","GO301_24_6008_1","1",""
"102","102","GO301_24_7102","GO301_24_6008_1","1",""
"102","102","GO301_24_7102_1","GO301_24_6008_1","1",""
"102","102","GO301_24_7612_1","GO301_24_6008_1","1",""
"102","102","GO301_24_6820_1","GO301_24_6010","1",""
"102","102","GO301_24_7104","GO301_24_6010","1",""
"102","102","GO301_24_8020","GO301_24_6010","1",""
"102","102","GO301_24_8020_1","GO301_24_6010","1",""
"102","102","GO301_24_6824","GO301_24_6012","1",""
"102","102","GO301_24_7106","GO301_24_6012","1",""
"102","102","GO301_24_7106_1","GO301_24_6012","1",""
"102","102","GO301_24_7622_1","GO301_24_6012","1",""
"102","102","GO301_24_6270","GO301_24_6014","1",""
"102","102","GO301_24_8768","GO301_24_6014","1",""
"102","102","GO301_24_6270","GO301_24_6014_1","1",""
"102","102","GO301_24_6270_1","GO301_24_6014_1","1",""
"102","102","GO301_24_7570_1","GO301_24_6014_1","1",""
"102","102","GO301_24_8768","GO301_24_6014_1","1",""
"27","27","GO301_24_6031","GO301_24_6111","1",""
"27","27","GO301_24_6033","GO301_24_6115","1",""
"27","27","GO301_24_6114","GO301_24_6034","1",""
"27","27","GO301_24_6035","GO301_24_6129","1",""
"102","102","GO301_24_6216","GO301_24_6036","1",""
"102","102","GO301_24_7516","GO301_24_6036","1",""
"102","102","GO301_24_7516_2","GO301_24_6036","1",""
"102","102","GO301_24_6216","GO301_24_6036_1","1",""
"102","102","GO301_24_6216_1","GO301_24_6036_1","1",""
"102","102","GO301_24_7516","GO301_24_6036_1","1",""
"102","102","GO301_24_7516_1","GO301_24_6036_1","1",""
"102","102","GO301_24_6216","GO301_24_6036_2","1",""
"102","102","GO301_24_7516","GO301_24_6036_2","1",""
"102","102","GO301_24_7516_2","GO301_24_6036_2","1",""
"102","102","GO301_24_8016","GO301_24_6036_2","1",""
"27","27","GO301_24_6037","GO301_24_6155","1",""
"27","27","GO301_24_6037","GO301_24_6155_1","1",""
"102","102","GO301_24_6254_1","GO301_24_6038","1",""
"102","102","GO301_24_7554","GO301_24_6038","1",""
"102","102","GO301_24_7554_2","GO301_24_6038","1",""
"102","102","GO301_24_8054","GO301_24_6038","1",""
"102","102","GO301_24_8054_1","GO301_24_6038","1",""
"102","102","GO301_24_8054_2","GO301_24_6038","1",""
"102","102","GO301_24_8754_1","GO301_24_6038","1",""
"102","102","GO301_24_6266","GO301_24_6040","1",""
"102","102","GO301_24_6266_1","GO301_24_6040","1",""
"102","102","GO301_24_7566","GO301_24_6040","1",""
"102","102","GO301_24_7566_2","GO301_24_6040","1",""
"102","102","GO301_24_8764_1","GO301_24_6040","1",""
"27","27","GO301_24_6041","GO301_24_6163","1",""
"27","27","GO301_24_6192","GO301_24_6042","1",""
"102","102","GO301_24_6274","GO301_24_6044","1",""
"102","102","GO301_24_6274_1","GO301_24_6044","1",""
"102","102","GO301_24_7574","GO301_24_6044","1",""
"102","102","GO301_24_7574_2","GO301_24_6044","1",""
"102","102","GO301_24_8772_1","GO301_24_6044","1",""
"102","102","GO301_24_6274","GO301_24_6044_1","1",""
"102","102","GO301_24_6274_1","GO301_24_6044_1","1",""
"102","102","GO301_24_7574","GO301_24_6044_1","1",""
"102","102","GO301_24_7574_2","GO301_24_6044_1","1",""
"102","102","GO301_24_8074","GO301_24_6044_1","1",""
"102","102","GO301_24_8772_1","GO301_24_6044_1","1",""
"102","102","GO301_24_6120","GO301_24_6052","1",""
"102","102","GO301_24_6816","GO301_24_6052","1",""
"102","102","GO301_24_6120","GO301_24_6052_1","1",""
"102","102","GO301_24_6716_1","GO301_24_6052_1","1",""
"102","102","GO301_24_6816","GO301_24_6052_1","1",""
"102","102","GO301_24_7914_2","GO301_24_6052_1","1",""
"102","102","GO301_24_7914_3","GO301_24_6052_1","1",""
"27","27","GO301_24_6126","GO301_24_6054","1",""
"27","27","GO301_24_6055","GO301_24_6151","1",""
"27","27","GO301_24_6130","GO301_24_6056","1",""
"27","27","GO301_24_6150","GO301_24_6058","1",""
"27","27","GO301_24_6059","GO301_24_6167","1",""
"27","27","GO301_24_6154","GO301_24_6060","1",""
"27","27","GO301_24_6061","GO301_24_6171","1",""
"27","27","GO301_24_6162","GO301_24_6062","1",""
"27","27","GO301_24_6168","GO301_24_6064","1",""
"27","27","GO301_24_6065","GO301_24_6181","1",""
"102","102","GO301_24_6262","GO301_24_6066","1",""
"102","102","GO301_24_6862_1","GO301_24_6066","1",""
"102","102","GO301_24_7560","GO301_24_6066","1",""
"102","102","GO301_24_7560_2","GO301_24_6066","1",""
"102","102","GO301_24_8760_1","GO301_24_6066","1",""
"102","102","GO301_24_6262","GO301_24_6066_1","1",""
"102","102","GO301_24_6862_1","GO301_24_6066_1","1",""
"102","102","GO301_24_7560","GO301_24_6066_1","1",""
"102","102","GO301_24_7560_2","GO301_24_6066_1","1",""
"102","102","GO301_24_8060","GO301_24_6066_1","1",""
"102","102","GO301_24_8760_1","GO301_24_6066_1","1",""
"27","27","GO301_24_6176","GO301_24_6068","1",""
"27","27","GO301_24_6184","GO301_24_6070","1",""
"27","27","GO301_24_6071","GO301_24_6193","1",""
"102","102","GO301_24_6702","GO301_24_6502","1",""
"102","102","GO301_24_6702_2","GO301_24_6502","1",""
"102","102","GO301_24_6702_3","GO301_24_6502","1",""
"102","102","GO301_24_6802","GO301_24_6502","1",""
"102","102","GO301_24_6102","GO301_24_6502_1","1",""
"102","102","GO301_24_6702","GO301_24_6502_1","1",""
"102","102","GO301_24_6702_1","GO301_24_6502_1","1",""
"102","102","GO301_24_6802","GO301_24_6502_1","1",""
"102","102","GO301_24_6116","GO301_24_6508","1",""
"102","102","GO301_24_6814","GO301_24_6508","1",""
"102","102","GO301_24_6112_1","GO301_24_6508_1","1",""
"102","102","GO301_24_6116","GO301_24_6508_1","1",""
"102","102","GO301_24_6814","GO301_24_6508_1","1",""
"102","102","GO301_24_7610_1","GO301_24_6508_1","1",""
"102","102","GO301_24_6124","GO301_24_6512","1",""
"102","102","GO301_24_6820","GO301_24_6512","1",""
"102","102","GO301_24_6124","GO301_24_6512_1","1",""
"102","102","GO301_24_6216_1","GO301_24_6512_1","1",""
"102","102","GO301_24_6820","GO301_24_6512_1","1",""
"102","102","GO301_24_8716_1","GO301_24_6512_1","1",""
"102","102","GO301_24_6132","GO301_24_6550","1",""
"102","102","GO301_24_6824","GO301_24_6550","1",""
"102","102","GO301_24_6132","GO301_24_6550_1","1",""
"102","102","GO301_24_6220_1","GO301_24_6550_1","1",""
"102","102","GO301_24_6824","GO301_24_6550_1","1",""
"102","102","GO301_24_8720_1","GO301_24_6550_1","1",""
"102","102","GO301_24_6156","GO301_24_6554","1",""
"102","102","GO301_24_6854","GO301_24_6554","1",""
"102","102","GO301_24_6156","GO301_24_6554_1","1",""
"102","102","GO301_24_6252_1","GO301_24_6554_1","1",""
"102","102","GO301_24_6854","GO301_24_6554_1","1",""
"102","102","GO301_24_8752_1","GO301_24_6554_1","1",""
"102","102","GO301_24_6166","GO301_24_6558","1",""
"102","102","GO301_24_6860","GO301_24_6558","1",""
"102","102","GO301_24_6166","GO301_24_6558_1","1",""
"102","102","GO301_24_6256_1","GO301_24_6558_1","1",""
"102","102","GO301_24_6860","GO301_24_6558_1","1",""
"102","102","GO301_24_8756_1","GO301_24_6558_1","1",""
"102","102","GO301_24_6862_1","GO301_24_6562","1",""
"102","102","GO301_24_8760_1","GO301_24_6562","1",""
"102","102","GO301_24_6174","GO301_24_6564","1",""
"102","102","GO301_24_6866","GO301_24_6564","1",""
"102","102","GO301_24_6174","GO301_24_6564_1","1",""
"102","102","GO301_24_6266_1","GO301_24_6564_1","1",""
"102","102","GO301_24_6866","GO301_24_6564_1","1",""
"102","102","GO301_24_8764_1","GO301_24_6564_1","1",""
"102","102","GO301_24_6182","GO301_24_6570","1",""
"102","102","GO301_24_6872","GO301_24_6570","1",""
"102","102","GO301_24_6182","GO301_24_6570_1","1",""
"102","102","GO301_24_6270_1","GO301_24_6570_1","1",""
"102","102","GO301_24_6872","GO301_24_6570_1","1",""
"102","102","GO301_24_8768_1","GO301_24_6570_1","1",""
"102","102","GO301_24_6194","GO301_24_6574","1",""
"102","102","GO301_24_6878","GO301_24_6574","1",""
"102","102","GO301_24_6194","GO301_24_6574_1","1",""
"102","102","GO301_24_6274_1","GO301_24_6574_1","1",""
"102","102","GO301_24_6878","GO301_24_6574_1","1",""
"102","102","GO301_24_8772_1","GO301_24_6574_1","1",""
"91","91","GO301_24_7674","GO301_24_6600","1",""
"91","91","GO301_24_7674_2","GO301_24_6600","1",""
"91","91","GO301_24_7674","GO301_24_6600_1","1",""
"91","91","GO301_24_7674_1","GO301_24_6600_1","1",""
"91","91","GO301_24_7674","GO301_24_6600_2","1",""
"91","91","GO301_24_7674_1","GO301_24_6600_2","1",""
"91","91","GO301_24_7674","GO301_24_6600_3","1",""
"91","91","GO301_24_7674_2","GO301_24_6600_3","1",""
"102","102","GO301_24_6102","GO301_24_6602","1",""
"102","102","GO301_24_6702","GO301_24_6602","1",""
"102","102","GO301_24_6702_2","GO301_24_6602","1",""
"102","102","GO301_24_6702_3","GO301_24_6602","1",""
"102","102","GO301_24_6102","GO301_24_6602_1","1",""
"102","102","GO301_24_6702","GO301_24_6602_1","1",""
"102","102","GO301_24_6702_1","GO301_24_6602_1","1",""
"91","91","GO301_24_7604","GO301_24_6604","1",""
"91","91","GO301_24_7604","GO301_24_6604_1","1",""
"91","91","GO301_24_6607","GO301_24_7511","1",""
"91","91","GO301_24_6607","GO301_24_7511_2","1",""
"91","91","GO301_24_6607_1","GO301_24_7511","1",""
"91","91","GO301_24_6607_1","GO301_24_7607","1",""
"91","91","GO301_24_6607_3","GO301_24_7511","1",""
"91","91","GO301_24_6607_3","GO301_24_7511_2","1",""
"91","91","GO301_24_6609","GO301_24_7611","1",""
"91","91","GO301_24_6609_1","GO301_24_7513_1","1",""
"91","91","GO301_24_6609_1","GO301_24_7611","1",""
"91","91","GO301_24_7512","GO301_24_6610","1",""
"91","91","GO301_24_7512_2","GO301_24_6610","1",""
"91","91","GO301_24_7512","GO301_24_6610_1","1",""
"91","91","GO301_24_7512_1","GO301_24_6610_1","1",""
"91","91","GO301_24_7512","GO301_24_6610_2","1",""
"91","91","GO301_24_7512_2","GO301_24_6610_2","1",""
"91","91","GO301_24_6611","GO301_24_7517","1",""
"91","91","GO301_24_6611","GO301_24_7517_2","1",""
"91","91","GO301_24_6611_1","GO301_24_7517","1",""
"91","91","GO301_24_6611_1","GO301_24_7613_1","1",""
"91","91","GO301_24_6611_2","GO301_24_7517","1",""
"91","91","GO301_24_6611_2","GO301_24_7517_2","1",""
"91","91","GO301_24_7614","GO301_24_6612","1",""
"91","91","GO301_24_7614_2","GO301_24_6612","1",""
"91","91","GO301_24_7614","GO301_24_6612_1","1",""
"91","91","GO301_24_7614_1","GO301_24_6612_1","1",""
"91","91","GO301_24_7614","GO301_24_6612_2","1",""
"91","91","GO301_24_7614_2","GO301_24_6612_2","1",""
"91","91","GO301_24_6613","GO301_24_7617","1",""
"91","91","GO301_24_6613_1","GO301_24_7617","1",""
"91","91","GO301_24_6613_1","GO301_24_7617_1","1",""
"91","91","GO301_24_6613_2","GO301_24_7617","1",""
"91","91","GO301_24_7520","GO301_24_6614","1",""
"91","91","GO301_24_7520_2","GO301_24_6614","1",""
"91","91","GO301_24_7520","GO301_24_6614_2","1",""
"91","91","GO301_24_7520_2","GO301_24_6614_2","1",""
"91","91","GO301_24_7520","GO301_24_6614_3","1",""
"91","91","GO301_24_7520_1","GO301_24_6614_3","1",""
"91","91","GO301_24_6615","GO301_24_7551","1",""
"91","91","GO301_24_6615","GO301_24_7551_2","1",""
"91","91","GO301_24_6615_1","GO301_24_7551","1",""
"91","91","GO301_24_6615_1","GO301_24_7619_1","1",""
"91","91","GO301_24_6615_2","GO301_24_7551","1",""
"91","91","GO301_24_6615_2","GO301_24_7551_2","1",""
"91","91","GO301_24_7622","GO301_24_6650","1",""
"91","91","GO301_24_7622_2","GO301_24_6650","1",""
"91","91","GO301_24_7622","GO301_24_6650_1","1",""
"91","91","GO301_24_7622_1","GO301_24_6650_1","1",""
"91","91","GO301_24_7622","GO301_24_6650_2","1",""
"91","91","GO301_24_7622_2","GO301_24_6650_2","1",""
"91","91","GO301_24_7552","GO301_24_6652","1",""
"91","91","GO301_24_7552_2","GO301_24_6652","1",""
"91","91","GO301_24_7552","GO301_24_6652_1","1",""
"91","91","GO301_24_7552_1","GO301_24_6652_1","1",""
"91","91","GO301_24_7552","GO301_24_6652_2","1",""
"91","91","GO301_24_7552_2","GO301_24_6652_2","1",""
"91","91","GO301_24_6653","GO301_24_7653","1",""
"91","91","GO301_24_6653_1","GO301_24_7653","1",""
"91","91","GO301_24_6653_1","GO301_24_7653_1","1",""
"91","91","GO301_24_6653_2","GO301_24_7653","1",""
"91","91","GO301_24_7654","GO301_24_6654","1",""
"91","91","GO301_24_7654_2","GO301_24_6654","1",""
"91","91","GO301_24_7654","GO301_24_6654_1","1",""
"91","91","GO301_24_7654_1","GO301_24_6654_1","1",""
"91","91","GO301_24_7654","GO301_24_6654_2","1",""
"91","91","GO301_24_7654_2","GO301_24_6654_2","1",""
"91","91","GO301_24_6655","GO301_24_7557","1",""
"91","91","GO301_24_6655","GO301_24_7557_2","1",""
"91","91","GO301_24_6655_1","GO301_24_7557","1",""
"91","91","GO301_24_6655_1","GO301_24_7557_1","1",""
"91","91","GO301_24_6655_2","GO301_24_7557","1",""
"91","91","GO301_24_6655_2","GO301_24_7557_2","1",""
"91","91","GO301_24_7558","GO301_24_6656","1",""
"91","91","GO301_24_7558_2","GO301_24_6656","1",""
"91","91","GO301_24_7558","GO301_24_6656_1","1",""
"91","91","GO301_24_7558_1","GO301_24_6656_1","1",""
"91","91","GO301_24_7558","GO301_24_6656_2","1",""
"91","91","GO301_24_7558_2","GO301_24_6656_2","1",""
"91","91","GO301_24_6657","GO301_24_7661","1",""
"91","91","GO301_24_6657_1","GO301_24_7661","1",""
"91","91","GO301_24_6657_1","GO301_24_7661_1","1",""
"91","91","GO301_24_6657_2","GO301_24_7661","1",""
"91","91","GO301_24_6659","GO301_24_7565","1",""
"91","91","GO301_24_6659","GO301_24_7565_2","1",""
"91","91","GO301_24_6659_1","GO301_24_7565","1",""
"91","91","GO301_24_6659_1","GO301_24_7565_1","1",""
"91","91","GO301_24_6659_2","GO301_24_7565","1",""
"91","91","GO301_24_6659_2","GO301_24_7565_2","1",""
"91","91","GO301_24_7660","GO301_24_6660","1",""
"91","91","GO301_24_7660_2","GO301_24_6660","1",""
"91","91","GO301_24_7660","GO301_24_6660_1","1",""
"91","91","GO301_24_7660_1","GO301_24_6660_1","1",""
"91","91","GO301_24_7660","GO301_24_6660_2","1",""
"91","91","GO301_24_7660_2","GO301_24_6660_2","1",""
"91","91","GO301_24_6661","GO301_24_7667","1",""
"91","91","GO301_24_6661_1","GO301_24_7667","1",""
"91","91","GO301_24_6661_1","GO301_24_7667_1","1",""
"91","91","GO301_24_6661_2","GO301_24_7667","1",""
"91","91","GO301_24_7566","GO301_24_6662","1",""
"91","91","GO301_24_7566_2","GO301_24_6662","1",""
"91","91","GO301_24_7566","GO301_24_6662_1","1",""
"91","91","GO301_24_7566_1","GO301_24_6662_1","1",""
"91","91","GO301_24_7566","GO301_24_6662_2","1",""
"91","91","GO301_24_7566_2","GO301_24_6662_2","1",""
"91","91","GO301_24_6663","GO301_24_7571","1",""
"91","91","GO301_24_6663","GO301_24_7571_2","1",""
"91","91","GO301_24_6663_1","GO301_24_7571","1",""
"91","91","GO301_24_6663_1","GO301_24_7571_1","1",""
"91","91","GO301_24_6663_2","GO301_24_7571","1",""
"91","91","GO301_24_6663_2","GO301_24_7571_2","1",""
"91","91","GO301_24_7668","GO301_24_6664","1",""
"91","91","GO301_24_7668_2","GO301_24_6664","1",""
"91","91","GO301_24_7668","GO301_24_6664_1","1",""
"91","91","GO301_24_7668_1","GO301_24_6664_1","1",""
"91","91","GO301_24_7668","GO301_24_6664_2","1",""
"91","91","GO301_24_7668_2","GO301_24_6664_2","1",""
"91","91","GO301_24_6665","GO301_24_7673","1",""
"91","91","GO301_24_6665_1","GO301_24_7673","1",""
"91","91","GO301_24_6665_1","GO301_24_7673_1","1",""
"91","91","GO301_24_6665_2","GO301_24_7673","1",""
"91","91","GO301_24_7572","GO301_24_6666","1",""
"91","91","GO301_24_7572_2","GO301_24_6666","1",""
"91","91","GO301_24_7572","GO301_24_6666_1","1",""
"91","91","GO301_24_7572_1","GO301_24_6666_1","1",""
"91","91","GO301_24_6667","GO301_24_7501","1",""
"91","91","GO301_24_6667_1","GO301_24_7501","1",""
"91","91","GO301_24_6667_1","GO301_24_7503_1","1",""
"102","102","GO301_24_6170_1","GO301_24_6796","1",""
"102","102","GO301_24_7658","GO301_24_6796","1",""
"102","102","GO301_24_7658_1","GO301_24_6796","1",""
"102","102","GO301_24_7958","GO301_24_6796","1",""
